CAUGHT    | M1 daedalus tool becomes a host mutation |  | 1 error in 0.80s
CAUGHT    | M19 enable with a remote planner needs no confirmation | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_a_networked_ollama_is_egress_and_needs_the_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_enable_with_a_remote_planner_needs_a_transient_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_the_grant_sentence_is_true_per_lane | 4 failed, 298 passed, 66 subtests passed in 4.48s
CAUGHT    | M33 slice gate rules travel verbatim (path, fragment, marker) | tests/runtimes/test_computer_daedalus.py::test_a_focus_file_containing_the_header_literal_keeps_its_text; tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text; tests/runtimes/test_computer_daedalus.py::test_slice_gate_rules_never_quote_the_marker_they_fired_on; tests/runtimes/test_computer_daedalus.py::test_slice_withheld_rows_name_a_rule_class_never_the_file_fragment_or_marker; tests/runtimes/test_computer_daedalus.py::test_the_real_slicer_hands_no_withheld_path_or_fragment_to_the_planner | 5 failed, 297 passed, 66 subtests passed in 4.57s
CAUGHT    | M34 status gates str values only | tests/runtimes/test_computer_daedalus.py::test_status_gates_every_value_shape_in_git_and_queue | 1 failed, 301 passed, 66 subtests passed in 4.48s
CAUGHT    | M35 the ambiguity refusal lists raw indexed paths | tests/runtimes/test_computer_daedalus.py::test_an_ambiguous_module_names_only_the_candidates_the_gate_admits; tests/runtimes/test_computer_daedalus.py::test_one_admitted_candidate_resolves_without_naming_ambiguity | 2 failed, 300 passed, 66 subtests passed in 4.51s
CAUGHT    | M36 leaving the machine decided by the lane again | tests/runtimes/test_computer_daedalus.py::test_leaving_the_machine_is_physics_and_the_lane_is_consent[ollama_http-http://100.119.126.9:11434-100.119.126.9-trusted-True]; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine; tests/test_ikarus_computer_loop.py::test_the_report_line_is_physics_not_the_consent_flag | 3 failed, 299 passed, 66 subtests passed in 4.46s
CAUGHT    | M37 focus_file ungated | tests/runtimes/test_computer_daedalus.py::test_the_focus_gate_holds_even_if_resolution_admitted_a_withheld_path | 1 failed, 301 passed, 66 subtests passed in 4.48s
CAUGHT    | M38 the flattener drops sets, keys and objects | tests/runtimes/test_computer_daedalus.py::test_the_gate_and_the_emitter_share_one_renderer | 1 failed, 301 passed, 66 subtests passed in 4.49s
CAUGHT    | M39 the TOP bound truncates silently | tests/runtimes/test_computer_daedalus.py::test_structure_counts_the_admitted_rows_the_top_bound_drops | 1 failed, 301 passed, 66 subtests passed in 4.52s
CAUGHT    | M40 the withheld block keeps the slicer's breadcrumbs | tests/runtimes/test_computer_daedalus.py::test_a_focus_file_containing_the_header_literal_keeps_its_text; tests/runtimes/test_computer_daedalus.py::test_slice_withheld_rows_name_a_rule_class_never_the_file_fragment_or_marker; tests/runtimes/test_computer_daedalus.py::test_the_real_slicer_hands_no_withheld_path_or_fragment_to_the_planner | 3 failed, 299 passed, 66 subtests passed in 4.60s
CAUGHT    | M20 a project whose policy row fails gets the generic policy | tests/runtimes/test_computer_daedalus.py::test_a_project_whose_policy_row_cannot_load_is_refused_not_generic; tests/runtimes/test_computer_daedalus.py::test_registry_refusals_name_the_class_never_the_message | 2 failed, 300 passed, 66 subtests passed in 4.51s
CAUGHT    | M27 deny_content no longer sees the path itself | tests/runtimes/test_computer_daedalus.py::test_deny_content_applies_to_the_path_itself | 1 failed, 301 passed, 66 subtests passed in 4.54s
CAUGHT    | M28 kept fields outside the text keys are not gated | tests/runtimes/test_computer_daedalus.py::test_kept_fields_outside_the_text_keys_are_gated_too; tests/runtimes/test_computer_daedalus.py::test_nested_strings_in_a_kept_field_are_gated; tests/runtimes/test_computer_daedalus.py::test_row_keys_from_a_producer_are_gated_when_no_projection_is_given | 3 failed, 299 passed, 66 subtests passed in 4.51s
CAUGHT    | M29 only a drive letter counts as a host path (UNC, URL, ~, POSIX undetected) | tests/runtimes/test_computer_daedalus.py::test_a_slash_after_any_non_path_character_is_a_host_path; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[$HOME/x/y-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[${HOME}/lab/driver.py-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[%USERPROFILE%\\Desktop\\x.md-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[(/Users/x/y)-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[//nas01/team/plans/x.md-True] | 22 failed, 280 passed, 66 subtests passed in 4.87s
CAUGHT    | M22 a question's offer confirms into a run | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_question_s_offer_confirms_into_a_proposal_never_a_run | 1 failed, 301 passed, 66 subtests passed in 4.74s
CAUGHT    | M23 the offer's policy digest is not bound to the run | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_confirmation_against_a_changed_policy_re_offers_instead_of_running | 1 failed, 301 passed, 66 subtests passed in 4.82s
CAUGHT    | M24 embedded host paths pass the text gate | tests/runtimes/test_computer_daedalus.py::test_a_set_is_gated_on_the_text_json_renders_for_it; tests/runtimes/test_computer_daedalus.py::test_a_slash_after_any_non_path_character_is_a_host_path; tests/runtimes/test_computer_daedalus.py::test_a_task_summary_with_an_embedded_host_path_is_withheld; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[$HOME/x/y-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[$env:USERPROFILE\\Desktop\\x-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[${HOME}/lab/driver.py-True] | 35 failed, 267 passed, 66 subtests passed in 5.38s
CAUGHT    | M25 a row without path or text passes ungated | tests/runtimes/test_computer_daedalus.py::test_rows_without_a_path_or_a_text_are_withheld_not_passed | 1 failed, 301 passed, 66 subtests passed in 4.80s
CAUGHT    | M26 the grant sentence claims the deny list on the trusted lane | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_the_grant_sentence_is_true_per_lane | 2 failed, 300 passed, 66 subtests passed in 4.81s
CAUGHT    | M30 egress decided by provider name, not host | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_a_networked_ollama_is_egress_and_needs_the_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine | 2 failed, 300 passed, 66 subtests passed in 4.81s
CAUGHT    | M31 ignore patterns ungated | tests/runtimes/test_computer_daedalus.py::test_ignore_patterns_are_gated_and_counted | 1 failed, 301 passed, 66 subtests passed in 5.03s
CAUGHT    | M32 slice withheld rows name the file | tests/runtimes/test_computer_daedalus.py::test_a_focus_file_containing_the_header_literal_keeps_its_text; tests/runtimes/test_computer_daedalus.py::test_a_withheld_block_that_cannot_be_rebuilt_withholds_the_text; tests/runtimes/test_computer_daedalus.py::test_a_withheld_field_of_an_unknown_shape_still_rebuilds_the_block; tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text; tests/runtimes/test_computer_daedalus.py::test_slice_gate_rules_never_quote_the_marker_they_fired_on; tests/runtimes/test_computer_daedalus.py::test_slice_withheld_rows_name_a_rule_class_never_the_file_fragment_or_marker | 7 failed, 295 passed, 66 subtests passed in 4.82s
CAUGHT    | M41 the report line follows the consent flag again | tests/test_ikarus_computer_loop.py::test_remote_planner_is_named_in_the_report_the_chat_and_the_history; tests/test_ikarus_computer_loop.py::test_the_report_line_is_physics_not_the_consent_flag | 2 failed, 300 passed, 66 subtests passed in 4.85s
CAUGHT    | M42 a local planner never leaves, whatever its host | tests/runtimes/test_computer_daedalus.py::test_leaving_the_machine_is_physics_and_the_lane_is_consent[ollama_http-http://0.0.0.0:11434--untrusted-True]; tests/runtimes/test_computer_daedalus.py::test_leaving_the_machine_is_physics_and_the_lane_is_consent[ollama_http-http://100.119.126.9:11434--untrusted-True]; tests/runtimes/test_computer_daedalus.py::test_leaving_the_machine_is_physics_and_the_lane_is_consent[ollama_http-http://100.119.126.9:11434-100.119.126.9-trusted-True]; tests/runtimes/test_computer_daedalus.py::test_leaving_the_machine_is_physics_and_the_lane_is_consent[ollama_http-http://localhost:11434--untrusted-True]; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_a_networked_ollama_is_egress_and_needs_the_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine | 7 failed, 295 passed, 66 subtests passed in 5.67s
CAUGHT    | M43 the offer sentence follows the consent flag again | tests/test_ikarus_computer_dispatch.py::OfferTest::test_the_offer_egress_note_is_physics_not_the_consent_flag | 1 failed, 301 passed, 66 subtests passed in 5.27s
CAUGHT    | M44 an exact withheld path confirms its existence | tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text | 1 failed, 301 passed, 66 subtests passed in 4.60s
CAUGHT    | M45 tasks are bounded before the gate | tests/runtimes/test_computer_daedalus.py::test_tasks_gate_every_brief_before_the_bound_and_count_the_elision | 1 failed, 301 passed, 66 subtests passed in 4.53s
CAUGHT    | M46 the rebuild splits at the first header | tests/runtimes/test_computer_daedalus.py::test_a_focus_file_containing_the_header_literal_keeps_its_text | 1 failed, 301 passed, 66 subtests passed in 4.79s
CAUGHT    | M47 an unrenderable value is admitted | tests/runtimes/test_computer_daedalus.py::test_an_unrenderable_value_is_withheld_and_counted_not_crashed_on | 1 failed, 301 passed, 66 subtests passed in 4.66s
CAUGHT    | M48 the raw value is emitted instead of the gated rendering | tests/runtimes/test_computer_daedalus.py::test_what_is_emitted_is_the_rendering_that_was_gated | 1 failed, 301 passed, 66 subtests passed in 4.65s
CAUGHT    | M49 a producer failure passes its message through | tests/runtimes/test_computer_daedalus.py::test_a_reader_or_producer_failure_names_its_class_never_its_message | 1 failed, 301 passed, 66 subtests passed in 4.49s
CAUGHT    | M50 the ambiguity refusal counts the withheld again | tests/runtimes/test_computer_daedalus.py::test_an_ambiguous_module_names_only_the_candidates_the_gate_admits | 1 failed, 301 passed, 66 subtests passed in 5.24s
CAUGHT    | M51 the structure counters bypass the gate | tests/runtimes/test_computer_daedalus.py::test_counters_are_gated_like_every_other_value | 1 failed, 301 passed, 66 subtests passed in 4.59s
CAUGHT    | M52 clone rows copied raw again | tests/runtimes/test_computer_daedalus.py::test_clone_rows_are_rendered_once_and_gated_in_every_field; tests/runtimes/test_computer_daedalus.py::test_structure_rows_go_through_the_path_gate | 2 failed, 300 passed, 66 subtests passed in 4.50s
CAUGHT    | M53 the registry refusal carries the message | tests/runtimes/test_computer_daedalus.py::test_registry_refusals_name_the_class_never_the_message | 1 failed, 301 passed, 66 subtests passed in 4.44s
CAUGHT    | M54 host paths inside the slice text pass | tests/runtimes/test_computer_daedalus.py::test_absolute_host_paths_inside_the_slice_text_are_redacted_and_counted | 1 failed, 301 passed, 66 subtests passed in 4.50s
CAUGHT    | M55 one admitted candidate is announced as ambiguous | tests/runtimes/test_computer_daedalus.py::test_an_ambiguous_module_names_only_the_candidates_the_gate_admits; tests/runtimes/test_computer_daedalus.py::test_one_admitted_candidate_resolves_without_naming_ambiguity | 2 failed, 300 passed, 66 subtests passed in 4.50s
CAUGHT    | M56 producer-chosen row keys pass ungated | tests/runtimes/test_computer_daedalus.py::test_row_keys_from_a_producer_are_gated_when_no_projection_is_given | 1 failed, 301 passed, 66 subtests passed in 4.53s
CAUGHT    | M57 a slash after a brace is not a host path | tests/runtimes/test_computer_daedalus.py::test_a_set_is_gated_on_the_text_json_renders_for_it; tests/runtimes/test_computer_daedalus.py::test_a_slash_after_any_non_path_character_is_a_host_path; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[${HOME}/lab/driver.py-True]; tests/runtimes/test_computer_daedalus.py::test_the_gate_and_the_emitter_share_one_renderer | 4 failed, 298 passed, 66 subtests passed in 4.59s
CAUGHT    | M58 a quoted path with spaces is cut at the first space | tests/runtimes/test_computer_daedalus.py::test_a_backtick_is_a_quote_and_never_ends_a_path_token; tests/runtimes/test_computer_daedalus.py::test_a_quoted_path_with_spaces_is_redacted_to_its_closing_quote; tests/runtimes/test_computer_daedalus.py::test_an_unquoted_path_continues_across_a_separator_free_word; tests/runtimes/test_computer_daedalus.py::test_the_tail_of_an_unquoted_path_after_two_separator_free_words | 4 failed, 298 passed, 66 subtests passed in 4.53s
CAUGHT    | M59 a non-list producer field is iterated | tests/runtimes/test_computer_daedalus.py::test_a_non_list_producer_field_is_withheld_not_crashed_on | 1 failed, 301 passed, 66 subtests passed in 4.52s
CAUGHT    | M60 an unquoted path with spaces stops at the first space | tests/runtimes/test_computer_daedalus.py::test_a_backtick_is_a_quote_and_never_ends_a_path_token; tests/runtimes/test_computer_daedalus.py::test_a_quoted_path_with_spaces_is_redacted_to_its_closing_quote; tests/runtimes/test_computer_daedalus.py::test_an_unquoted_path_continues_across_a_separator_free_word | 3 failed, 299 passed, 66 subtests passed in 4.52s
CAUGHT    | M61 a withheld field of an unknown shape is trusted | tests/runtimes/test_computer_daedalus.py::test_a_withheld_field_of_an_unknown_shape_still_rebuilds_the_block | 1 failed, 301 passed, 66 subtests passed in 4.71s
CAUGHT    | M62 a consumption failure escapes execute with its message | tests/runtimes/test_computer_daedalus.py::test_a_failure_while_consuming_a_payload_is_a_class_only_refusal | 1 failed, 301 passed, 66 subtests passed in 4.48s
CAUGHT    | M21 the lane is frozen at construction | tests/runtimes/test_computer_daedalus.py::test_the_lane_is_derived_per_call_not_at_construction | 1 failed, 301 passed, 66 subtests passed in 4.44s
CAUGHT    | M63 a backtick ends a path token again (the round-9 spelling) | tests/runtimes/test_computer_daedalus.py::test_a_backtick_is_a_quote_and_never_ends_a_path_token; tests/runtimes/test_computer_daedalus.py::test_the_tail_of_an_unquoted_path_after_two_separator_free_words | 2 failed, 300 passed, 66 subtests passed in 4.57s
CAUGHT    | M64 the space bridging never looks past the first run | tests/runtimes/test_computer_daedalus.py::test_an_unquoted_path_continues_across_a_separator_free_word | 1 failed, 301 passed, 66 subtests passed in 4.47s
CAUGHT    | M65 an unclosed quote falls back to no walk at all | tests/runtimes/test_computer_daedalus.py::test_a_backtick_is_a_quote_and_never_ends_a_path_token | 1 failed, 301 passed, 66 subtests passed in 4.46s
CAUGHT    | M66 a withheld block that cannot be rebuilt passes raw | tests/runtimes/test_computer_daedalus.py::test_a_withheld_block_that_cannot_be_rebuilt_withholds_the_text | 1 failed, 301 passed, 66 subtests passed in 4.51s
CAUGHT    | M67 rendering the result escapes execute with its message |  | 1 error in 0.75s
GREEN     | restored tree | 302 passed, 66 subtests passed in 4.32s
