CAUGHT    | M1 daedalus tool becomes a host mutation |  | 1 error in 0.66s
CAUGHT    | M18 docrefs errors returned verbatim | tests/runtimes/test_computer_daedalus.py::test_docrefs_rows_go_through_the_gate_and_errors_are_a_count | 1 failed, 195 passed, 66 subtests passed in 3.02s
CAUGHT    | M19 enable with a remote planner needs no confirmation | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_a_networked_ollama_is_egress_and_needs_the_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_enable_with_a_remote_planner_needs_a_transient_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_the_grant_sentence_is_true_per_lane | 4 failed, 192 passed, 66 subtests passed in 3.08s
CAUGHT    | M33 slice gate rules travel verbatim (path, fragment, marker) | tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text; tests/runtimes/test_computer_daedalus.py::test_slice_gate_rules_never_quote_the_marker_they_fired_on; tests/runtimes/test_computer_daedalus.py::test_slice_withheld_rows_name_a_rule_class_never_the_file_fragment_or_marker; tests/runtimes/test_computer_daedalus.py::test_the_real_slicer_hands_no_withheld_path_or_fragment_to_the_planner | 4 failed, 192 passed, 66 subtests passed in 3.07s
CAUGHT    | M34 status gates str values only | tests/runtimes/test_computer_daedalus.py::test_status_gates_every_value_shape_in_git_and_queue | 1 failed, 195 passed, 66 subtests passed in 3.27s
CAUGHT    | M35 the ambiguity refusal lists raw indexed paths | tests/runtimes/test_computer_daedalus.py::test_an_ambiguous_module_names_only_the_candidates_the_gate_admits | 1 failed, 195 passed, 66 subtests passed in 3.02s
CAUGHT    | M36 leaving the machine decided by the lane again | tests/runtimes/test_computer_daedalus.py::test_leaving_the_machine_is_physics_and_the_lane_is_consent[ollama_http-http://100.119.126.9:11434-100.119.126.9-trusted-True]; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine | 2 failed, 194 passed, 66 subtests passed in 3.07s
CAUGHT    | M37 focus_file ungated | tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text | 1 failed, 195 passed, 66 subtests passed in 3.03s
CAUGHT    | M38 the flattener drops sets, keys and objects | tests/runtimes/test_computer_daedalus.py::test_status_gates_every_value_shape_in_git_and_queue | 1 failed, 195 passed, 66 subtests passed in 3.01s
CAUGHT    | M39 the TOP bound truncates silently | tests/runtimes/test_computer_daedalus.py::test_structure_counts_the_admitted_rows_the_top_bound_drops | 1 failed, 195 passed, 66 subtests passed in 3.05s
CAUGHT    | M40 the withheld block keeps the slicer's breadcrumbs | tests/runtimes/test_computer_daedalus.py::test_slice_withheld_rows_name_a_rule_class_never_the_file_fragment_or_marker; tests/runtimes/test_computer_daedalus.py::test_the_real_slicer_hands_no_withheld_path_or_fragment_to_the_planner | 2 failed, 194 passed, 66 subtests passed in 3.10s
CAUGHT    | M20 a project whose policy row fails gets the generic policy | tests/runtimes/test_computer_daedalus.py::test_a_project_whose_policy_row_cannot_load_is_refused_not_generic | 1 failed, 195 passed, 66 subtests passed in 3.01s
CAUGHT    | M27 deny_content no longer sees the path itself | tests/runtimes/test_computer_daedalus.py::test_deny_content_applies_to_the_path_itself | 1 failed, 195 passed, 66 subtests passed in 3.12s
CAUGHT    | M28 kept fields outside the text keys are not gated | tests/runtimes/test_computer_daedalus.py::test_kept_fields_outside_the_text_keys_are_gated_too; tests/runtimes/test_computer_daedalus.py::test_nested_strings_in_a_kept_field_are_gated | 2 failed, 194 passed, 66 subtests passed in 3.07s
CAUGHT    | M29 the embedded-path shapes shrink back to the root-name list | tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[/Program Files/App/config.ini-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[/\u0434\u043e\u043c/kty/secret.txt-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[/data/corpus/x-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[/proc/self/environ-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[/usr/local/lib/python3.12/site-packages/daedalus/x.py-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[/workspace/x/y-True] | 10 failed, 186 passed, 66 subtests passed in 3.34s
CAUGHT    | M22 a question's offer confirms into a run | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_question_s_offer_confirms_into_a_proposal_never_a_run | 1 failed, 195 passed, 66 subtests passed in 3.16s
CAUGHT    | M23 the offer's policy digest is not bound to the run | tests/test_ikarus_computer_dispatch.py::ConfirmationTest::test_a_confirmation_against_a_changed_policy_re_offers_instead_of_running | 1 failed, 195 passed, 66 subtests passed in 3.28s
CAUGHT    | M24 embedded host paths pass the text gate | tests/runtimes/test_computer_daedalus.py::test_a_task_summary_with_an_embedded_host_path_is_withheld; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[$HOME/x/y-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[$env:USERPROFILE\\Desktop\\x-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[${HOME}/lab/driver.py-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[%USERPROFILE%\\Desktop\\x.md-True]; tests/runtimes/test_computer_daedalus.py::test_embedded_host_paths_are_detected[(/Users/x/y)-True] | 31 failed, 165 passed, 66 subtests passed in 3.61s
CAUGHT    | M25 a row without path or text passes ungated | tests/runtimes/test_computer_daedalus.py::test_rows_without_a_path_or_a_text_are_withheld_not_passed | 1 failed, 195 passed, 66 subtests passed in 3.22s
CAUGHT    | M26 the grant sentence claims the deny list on the trusted lane | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_the_grant_sentence_is_true_per_lane | 2 failed, 194 passed, 66 subtests passed in 3.35s
CAUGHT    | M30 egress decided by provider name, not host | tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_a_networked_ollama_is_egress_and_needs_the_confirmation; tests/test_ikarus_computer_dispatch.py::EnableDaedalusTest::test_an_owner_declared_trusted_host_still_leaves_the_machine | 2 failed, 194 passed, 66 subtests passed in 3.00s
CAUGHT    | M31 ignore patterns ungated | tests/runtimes/test_computer_daedalus.py::test_ignore_patterns_are_gated_and_counted | 1 failed, 195 passed, 66 subtests passed in 3.08s
CAUGHT    | M32 slice withheld rows name the file | tests/runtimes/test_computer_daedalus.py::test_a_withheld_focus_discloses_neither_its_path_nor_its_rule_text; tests/runtimes/test_computer_daedalus.py::test_slice_gate_rules_never_quote_the_marker_they_fired_on; tests/runtimes/test_computer_daedalus.py::test_slice_withheld_rows_name_a_rule_class_never_the_file_fragment_or_marker; tests/runtimes/test_computer_daedalus.py::test_the_real_slicer_hands_no_withheld_path_or_fragment_to_the_planner | 4 failed, 192 passed, 66 subtests passed in 2.97s
CAUGHT    | M21 the lane is frozen at construction | tests/runtimes/test_computer_daedalus.py::test_the_lane_is_derived_per_call_not_at_construction | 1 failed, 195 passed, 66 subtests passed in 2.97s
GREEN     | restored tree | 196 passed, 66 subtests passed in 2.79s
