CAUGHT    | M1 the leakage boundary is not checked before the runner | tests/runtimes/test_computer_ariadne.py::test_the_lexical_boundary_check_precedes_the_registry_read | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.43s
CAUGHT    | M12 the tool is not a host mutation | tests/runtimes/test_computer_ariadne.py::test_the_family_is_known_and_a_fresh_policy_grants_nothing; tests/runtimes/test_computer_ariadne.py::test_the_real_campaign_through_the_real_lease_nominates_and_leaves_the_subject_untouched | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.66s
CAUGHT    | M13 the capability is offered without a runner | tests/runtimes/test_computer_ariadne.py::test_capability_is_unavailable_without_a_project_or_a_runner | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.60s
CAUGHT    | M14 execution admits the tool without a runner (both runner checks gone) | tests/runtimes/test_computer_ariadne.py::test_a_session_without_a_runner_is_refused_before_any_lease | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.69s
CAUGHT    | M15 a pre-run refusal is left for reconciliation | tests/runtimes/test_computer_ariadne.py::test_the_service_keeps_the_lease_started_after_a_runner_failure_and_settles_a_pre_run_refusal | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.60s
CAUGHT    | M16 enable ariadne needs no confirmation | tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_enable_needs_the_one_use_confirmation_and_changes_nothing_without_it; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_the_subcommand_token_is_case_insensitive | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.57s
CAUGHT    | M17 disable removes every tool | tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_disable_removes_only_the_tool; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_enable_with_the_confirmation_adds_the_tool_through_compare_and_replace | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
CAUGHT    | M18 the family is unknown to the policy | tests/runtimes/test_computer_ariadne.py::test_a_campaign_id_is_held_to_the_filesystem_spelling_of_its_directory; tests/runtimes/test_computer_ariadne.py::test_a_failing_evidence_check_reads_as_unverified_never_as_a_refusal; tests/runtimes/test_computer_ariadne.py::test_a_failing_gate_call_in_the_projection_withholds_the_target; tests/runtimes/test_computer_ariadne.py::test_a_hard_link_to_a_protected_file_is_refused_before_the_runner; tests/runtimes/test_computer_ariadne.py::test_a_junction_inside_the_subject_cannot_reach_the_leakage_boundary; tests/runtimes/test_computer_ariadne.py::test_a_large_integer_in_the_receipt_is_described_not_rendered | 66 failed, 87 passed, 2 skipped, 1 warning, 12 subtests passed in 4.41s
CAUGHT    | M20 a failure message with a host path passes to the planner | tests/runtimes/test_computer_ariadne.py::test_failure_texts_keep_the_class_and_drop_a_message_that_names_a_host_path | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.58s
CAUGHT    | M21 the registry refusal carries the message again | tests/runtimes/test_computer_ariadne.py::test_failure_texts_keep_the_class_and_drop_a_message_that_names_a_host_path | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
CAUGHT    | M22 a second factory silently replaces the registered one | tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_a_process_without_a_registered_runner_reports_the_tool_unavailable | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.53s
CAUGHT    | M23 the grant text claims the project tree is never written | tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_enable_needs_the_one_use_confirmation_and_changes_nothing_without_it | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
CAUGHT    | M24 the resolved path is not compared with the requested one (junction passes) | tests/runtimes/test_computer_ariadne.py::test_a_junction_inside_the_subject_cannot_reach_the_leakage_boundary | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.55s
CAUGHT    | M25 a '.' segment passes the lexical rule | tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments10-repository-relative]; tests/runtimes/test_computer_ariadne.py::test_every_pre_run_refusal_precedes_the_runner[arguments9-repository-relative] | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
CAUGHT    | M26 the postcondition ignores the evidence directory | tests/runtimes/test_computer_ariadne.py::test_a_failing_evidence_check_reads_as_unverified_never_as_a_refusal; tests/runtimes/test_computer_ariadne.py::test_evidence_with_a_future_timestamp_does_not_verify_forever; tests/runtimes/test_computer_ariadne.py::test_nothing_after_the_runner_can_raise_a_pre_run_refusal; tests/runtimes/test_computer_ariadne.py::test_the_evidence_must_have_been_written_during_this_run; tests/runtimes/test_computer_ariadne.py::test_the_postcondition_is_backed_by_the_evidence_directory; tests/runtimes/test_computer_ariadne.py::test_the_projection_carries_verdicts_and_hashes_but_no_locator_path_or_after_text | 6 failed, 147 passed, 2 skipped, 1 warning, 12 subtests passed in 4.59s
CAUGHT    | M27 a no-op grant claims applied | tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_a_no_op_grant_or_revoke_says_so_and_writes_nothing | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.59s
CAUGHT    | M28 the subcommand token is case-sensitive again | tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_the_subcommand_token_is_case_insensitive | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.64s
CAUGHT    | M29 the projection is built from the raw receipt again | tests/runtimes/test_computer_ariadne.py::test_the_projection_is_rendered_once_and_bounded | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.59s
CAUGHT    | M19 the registry accepts a non-callable factory | tests/test_ikarus_computer_dispatch.py::ComputerHandTest::test_an_enabled_policy_projects_planner_and_tools; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_a_process_without_a_registered_runner_reports_the_tool_unavailable; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_disable_removes_only_the_tool; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_enable_needs_the_one_use_confirmation_and_changes_nothing_without_it; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_enable_with_the_confirmation_adds_the_tool_through_compare_and_replace; tests/test_ikarus_computer_dispatch.py::EnableAriadneTest::test_the_subcommand_token_is_case_insensitive | 13 failed, 140 passed, 2 skipped, 1 warning, 12 subtests passed in 4.62s
CAUGHT    | M30 a hard link to a protected file is admitted | tests/runtimes/test_computer_ariadne.py::test_a_hard_link_to_a_protected_file_is_refused_before_the_runner | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.58s
CAUGHT    | M31 the campaign id keeps its filesystem spelling unchecked | tests/runtimes/test_computer_ariadne.py::test_a_campaign_id_is_held_to_the_filesystem_spelling_of_its_directory | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
CAUGHT    | M32 inherited evidence counts as this run's postcondition | tests/runtimes/test_computer_ariadne.py::test_the_evidence_must_have_been_written_during_this_run | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.55s
CAUGHT    | M33 a projected value is unbounded again | tests/runtimes/test_computer_ariadne.py::test_every_projected_value_is_bounded_not_only_every_list | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.65s
CAUGHT    | M34 the projection re-reads the registry after the runner | tests/runtimes/test_computer_ariadne.py::test_nothing_after_the_runner_can_raise_a_pre_run_refusal | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.58s
CAUGHT    | M35 a hard link is read by the campaign's own reader | tests/gates/test_repository_tree.py::test_a_hard_link_is_refused_on_the_open_descriptor | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.55s
CAUGHT    | M36 a supplied campaign label is not bound to the operation | tests/runtimes/test_computer_ariadne.py::test_a_campaign_id_is_held_to_the_filesystem_spelling_of_its_directory; tests/runtimes/test_computer_ariadne.py::test_the_default_campaign_id_is_deterministic_per_operation_and_a_given_label_is_bound_to_it | 2 failed, 151 passed, 2 skipped, 1 warning, 12 subtests passed in 4.57s
CAUGHT    | M37 the evidence freshness check has no ceiling | tests/runtimes/test_computer_ariadne.py::test_evidence_with_a_future_timestamp_does_not_verify_forever | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.61s
CAUGHT    | M38 a large integer is rendered into the projection | tests/runtimes/test_computer_ariadne.py::test_a_large_integer_in_the_receipt_is_described_not_rendered | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.57s
CAUGHT    | M39 a receipt about another campaign still verifies | tests/runtimes/test_computer_ariadne.py::test_a_receipt_about_another_campaign_does_not_verify_the_postcondition | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.54s
CAUGHT    | M40 a receipt that is not an object is read anyway | tests/runtimes/test_computer_ariadne.py::test_an_unreadable_receipt_shape_is_classified_not_crashed | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.58s
CAUGHT    | M41 a budget-equality field passes through untyped | tests/runtimes/test_computer_ariadne.py::test_an_unreadable_receipt_shape_is_classified_not_crashed | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
CAUGHT    | M42 the evidence check is unguarded after the runner | tests/runtimes/test_computer_ariadne.py::test_a_failing_evidence_check_reads_as_unverified_never_as_a_refusal | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.54s
CAUGHT    | M43 the projection's gate call is unguarded after the runner | tests/runtimes/test_computer_ariadne.py::test_a_failing_gate_call_in_the_projection_withholds_the_target | 1 failed, 152 passed, 2 skipped, 1 warning, 12 subtests passed in 4.56s
GREEN     | restored tree | 153 passed, 2 skipped, 1 warning, 12 subtests passed in 4.44s
